facility_number,facility_type,age_years,expected_life_years,condition_index,remaining_service_life,year_constructed
4306,Power generation Facility,23,60,70,40.19,2002
249,Admin Office,11,40,70,35.21,2014
7860,Standby Generator,16,30,70,16.32,2009
4930,Central Utility Plant,41,50,70,12.77,1984
4739,Water Treatment Facility,30,30,70,0.0,1995
8332,Entry control point,22,30,70,4.66,2003
4143,Maintenance Shop,25,40,70,18.46,2000
6806,Ops Facility T1,36,50,70,13.19,1989
6936,Fuel intake Facility,23,30,70,3.22,2002
6149,Receiver Station,22,30,70,12.21,2003
8539,Fuel Farm,37,40,70,0.0,1988
246,Heating - Cooling Plant,25,60,70,37.46,2000
8342,Maintenance Shop,37,40,70,17.55,1988
7754,Water Treatment Facility,30,30,70,0.0,1995
1662,Communication Facility,29,60,70,32.64,1996
9710,UPS Building,6,50,70,36.39,2019
4447,Antenna support building,23,30,70,7.8,2002
6048,Fuel intake Facility,25,30,70,5.64,2000
9464,Receiver Station,20,30,70,9.27,2005
5433,Switching Station,11,30,70,23.26,2014
6069,UPS Building,50,50,70,2.27,1975
2574,Data Center,30,40,9,0.0,1995
8614,Dorm Facility,38,50,70,16.76,1987
3648,Truck fill stand,30,30,70,0.0,1995
7220,Entry control point,23,30,70,8.89,2002
7046,Fuel Building,28,50,87,24.81,1997
324,UPS Building,48,50,70,0.0,1977
7732,Central Utility Plant,33,50,70,23.29,1992
6412,UPS Building,40,50,70,8.52,1985
2613,Receiver Station,21,30,70,7.08,2004
2967,Ops Facility T1,1,50,70,43.76,2024
9373,Pump Station,34,40,70,6.95,1991
1384,UPS Building,20,50,91,32.24,2005
3662,Ground Terminal T1,14,30,3,14.74,2011
8555,Central Utility Plant,13,50,99,34.07,2012
467,Dorm Facility,6,50,70,51.25,2019
2517,Utility corridor,20,60,70,44.44,2005
3817,Standby Generator,30,30,70,2.77,1995
5833,Data Center,21,40,70,23.61,2004
3337,Central Utility Plant,22,50,70,20.32,2003
1050,Fuel intake Facility,25,30,70,0.0,2000
8090,Utility corridor,6,60,70,55.99,2019
2713,UPS Building,35,50,70,4.42,1990
751,Receiver Station,30,30,70,0.0,1995
8569,Communication Facility,8,60,70,55.08,2017
9778,Ground monitoring Station,12,30,70,22.43,2013
5968,Radome Facility,2,30,70,35.3,2023
784,Pump Station,6,40,94,40.42,2019
3748,Fuel intake Facility,14,30,70,24.47,2011
4126,Equipment Pad,18,20,99,0.86,2007
7361,Radome Facility,30,30,70,2.61,1995
8173,Storage Facility,36,60,70,31.64,1989
3394,Receiver Station,30,30,91,0.0,1995
7964,Equipment Pad,3,20,70,18.69,2022
5570,Utility corridor,30,60,70,34.25,1995
8850,Standby Generator,3,30,69,17.06,2022
385,Equipment Pad,4,20,70,22.58,2021
1806,Fuel Building,22,50,69,33.15,2003
1009,Power generation Facility,26,60,70,36.07,1999
4412,Pump Station,30,40,70,3.85,1995
5093,Substation,23,30,70,13.82,2002
4942,Antenna support building,9,30,70,23.29,2016
9494,Pump Station,37,40,69,0.0,1988
6572,Entry control point,23,30,70,15.25,2002
4007,Maintenance Shop,21,40,96,12.41,2004
1293,Truck fill stand,27,30,70,15.81,1998
5207,Water Treatment Facility,27,30,70,3.05,1998
7759,Central Utility Plant,26,50,70,24.12,1999
8590,Pump Station,26,40,70,8.41,1999
240,Radome Facility,17,30,30,13.91,2008
9693,Dorm Facility,22,50,70,23.55,2003
6882,Ground Terminal T1,13,30,70,18.14,2012
9215,Pump Station,31,40,71,11.07,1994
6649,Entry control point,30,30,70,0.0,1995
2322,Ground monitoring Station,15,30,70,10.77,2010
7870,Utility corridor,17,60,70,37.15,2008
9268,Communication Facility,34,60,71,20.09,1991
2330,Maintenance Shop,35,40,70,3.87,1990
2788,Dorm Facility,21,50,70,27.52,2004
346,Water Treatment Facility,13,30,70,23.14,2012
3000,Dorm Facility,33,50,70,14.05,1992
7719,Storage Facility,40,60,70,26.19,1985
9827,Water Treatment Facility,26,30,70,4.81,1999
1053,Fuel intake Facility,30,30,70,0.13,1995
5755,Central Utility Plant,42,50,70,0.0,1983
3166,Water Treatment Facility,9,30,70,6.84,2016
6606,Truck fill stand,26,30,70,0.0,1999
7862,Dorm Facility,26,50,70,25.54,1999
8711,UPS Building,43,50,69,15.33,1982
3720,Fuel Farm,18,40,70,27.44,2007
3859,Utility corridor,33,60,92,29.12,1992
497,Admin Office,29,40,70,12.11,1996
1800,Antenna support building,30,30,71,0.0,1995
3011,Pump Station,16,40,70,25.95,2009
1310,Fuel Farm,27,40,70,8.44,1998
2856,Truck fill stand,28,30,70,2.29,1997
3766,Antenna support building,17,30,70,4.71,2008
3084,Standby Generator,13,30,70,16.96,2012
9236,Pump Station,25,40,70,16.03,2000
93,Fuel Building,39,50,70,9.47,1986
5214,Fuel Farm,35,40,70,2.57,1990
4399,Heating - Cooling Plant,29,60,4,32.5,1996
4229,Admin Office,2,40,1,39.34,2023
2180,Equipment Pad,20,20,70,6.34,2005
4113,Admin Office,40,40,31,0.7,1985
7952,Admin Office,2,40,70,42.34,2023
9239,Pump Station,27,40,99,19.0,1998
8850,UPS Building,2,50,70,46.16,2023
6524,Central Utility Plant,41,50,70,13.5,1984
7665,Fuel Building,39,50,70,12.9,1986
3596,Truck fill stand,30,30,97,5.76,1995
5808,Admin Office,24,40,70,18.51,2001
7150,Water Treatment Facility,8,30,70,21.15,2017
1351,Receiver Station,1,30,70,36.5,2024
7552,Ground Terminal T1,28,30,70,0.0,1997
3737,Pump Station,5,40,70,39.87,2020
4239,Power generation Facility,58,60,70,0.0,1967
238,Maintenance Shop,33,40,70,3.0,1992
1023,Standby Generator,30,30,70,0.0,1995
4225,Data Center,34,40,70,6.57,1991
9302,Switching Station,23,30,97,0.0,2002
977,Receiver Station,17,30,70,26.46,2008
5780,Ops Facility T1,14,50,70,43.29,2011
2040,Storage Facility,50,60,70,11.3,1975
8873,Standby Generator,30,30,70,6.94,1995
6416,Admin Office,28,40,70,15.32,1997
3698,Communication Facility,18,60,70,42.95,2007
1930,Fuel Building,42,50,70,8.27,1983
6127,Truck fill stand,22,30,70,12.65,2003
697,Fuel intake Facility,30,30,70,0.0,1995
5228,Fuel Building,34,50,70,18.28,1991
9437,Heating - Cooling Plant,29,60,70,22.94,1996
7972,Fuel Farm,24,40,70,15.7,2001
2503,Antenna support building,30,30,70,0.0,1995
6356,UPS Building,46,50,70,0.0,1979
9697,Admin Office,31,40,70,2.49,1994
7368,Pump Station,13,40,70,34.76,2012
1460,Utility corridor,30,60,70,29.32,1995
6600,Receiver Station,6,30,70,19.13,2019
7939,Radome Facility,14,30,70,16.9,2011
339,Utility corridor,11,60,70,44.8,2014
6766,Antenna support building,27,30,70,2.4,1998
7147,Antenna support building,20,30,70,5.78,2005
802,Fuel intake Facility,18,30,70,13.78,2007
1322,Water Treatment Facility,30,30,70,1.18,1995
244,Maintenance Shop,27,40,70,13.97,1998
4296,Central Utility Plant,23,50,70,34.66,2002
7434,Ground Terminal T1,30,30,70,3.04,1995
9594,Water Treatment Facility,30,30,70,0.0,1995
5569,Fuel Building,12,50,70,40.04,2013
5005,Standby Generator,30,30,24,1.57,1995
6038,Fuel Farm,27,40,70,2.38,1998
5109,Switching Station,24,30,70,6.32,2001
6133,Pump Station,3,40,12,35.98,2022
8592,Storage Facility,7,60,70,63.49,2018
8785,Power generation Facility,14,60,69,49.0,2011
32,Ground monitoring Station,30,30,70,0.0,1995
1234,Standby Generator,30,30,70,2.29,1995
1558,Antenna support building,25,30,69,3.34,2000
9368,Fuel Building,39,50,70,10.09,1986
3484,Water Treatment Facility,23,30,70,16.21,2002
1222,Truck fill stand,25,30,70,0.07,2000
5052,UPS Building,20,50,70,27.24,2005
3430,Communication Facility,18,60,45,42.01,2007
693,Fuel intake Facility,29,30,49,0.6,1996
6042,Fuel Building,50,50,70,0.0,1975
3202,Entry control point,30,30,70,0.44,1995
3580,Entry control point,28,30,71,0.0,1997
5843,Fuel Farm,23,40,70,23.47,2002
1447,Equipment Pad,11,20,70,7.91,2014
652,Central Utility Plant,10,50,70,31.74,2015
7453,Switching Station,29,30,70,0.0,1996
358,Dorm Facility,22,50,69,33.88,2003
8399,Central Utility Plant,41,50,70,4.18,1984
6373,Truck fill stand,20,30,70,5.94,2005
4615,Truck fill stand,25,30,70,6.77,2000
6366,Ground monitoring Station,7,30,70,17.22,2018
2074,UPS Building,18,50,70,29.86,2007
6112,Fuel Farm,20,40,70,27.93,2005
4670,Ground Terminal T1,29,30,70,0.0,1996
574,Central Utility Plant,42,50,70,23.28,1983
313,Fuel Building,25,50,70,25.24,2000
3349,Heating - Cooling Plant,53,60,70,4.59,1972
5320,Dorm Facility,31,50,70,24.98,1994
7092,Entry control point,10,30,6,21.13,2015
2526,Truck fill stand,29,30,70,1.08,1996
6659,Ops Facility T1,45,50,70,0.0,1980
2973,UPS Building,39,50,70,17.2,1986
6886,Antenna support building,29,30,69,0.0,1996
3776,Data Center,17,40,70,15.07,2008
2884,Antenna support building,18,30,70,14.17,2007
9736,Water Treatment Facility,30,30,70,2.16,1995
5042,Pump Station,32,40,70,4.8,1993
3635,Heating - Cooling Plant,36,60,70,30.28,1989
4611,Substation,21,30,70,7.21,2004
6458,Antenna support building,11,30,70,10.75,2014
1046,Heating - Cooling Plant,29,60,3,28.16,1996
1425,Dorm Facility,35,50,70,12.56,1990
2608,Water Treatment Facility,30,30,70,1.56,1995
6570,Radome Facility,12,30,70,10.59,2013
8633,Admin Office,37,40,70,8.37,1988
6153,Dorm Facility,45,50,70,7.1,1980
4373,Power generation Facility,32,60,70,30.28,1993
3285,Ops Facility T1,36,50,70,14.89,1989
1398,Ops Facility T1,30,50,70,18.99,1995
1146,Central Utility Plant,15,50,70,29.3,2010
6643,Maintenance Shop,39,40,71,0.0,1986
5525,Ground monitoring Station,24,30,70,5.96,2001
1623,Substation,30,30,70,4.46,1995
9461,Substation,10,30,70,25.02,2015
929,Antenna support building,30,30,70,6.42,1995
7881,Ops Facility T1,21,50,70,26.25,2004
6316,UPS Building,24,50,70,33.0,2001
3191,Heating - Cooling Plant,41,60,70,15.24,1984
520,Maintenance Shop,33,40,70,5.2,1992
8252,Receiver Station,29,30,70,0.0,1996
6769,Utility corridor,38,60,70,25.88,1987
6907,Pump Station,25,40,70,24.91,2000
9079,Data Center,36,40,70,0.0,1989
3066,Maintenance Shop,27,40,70,19.52,1998
8630,Power generation Facility,38,60,70,21.05,1987
6048,Heating - Cooling Plant,47,60,70,16.5,1978
7584,Entry control point,30,30,99,0.0,1995
9897,Communication Facility,32,60,70,31.45,1993
6796,Entry control point,30,30,70,0.0,1995
4821,Central Utility Plant,6,50,70,50.2,2019
3768,Entry control point,26,30,70,7.95,1999
7058,Antenna support building,23,30,70,7.0,2002
7568,Fuel Farm,23,40,70,15.5,2002
3912,Switching Station,5,30,70,12.07,2020
670,Fuel Farm,29,40,93,12.87,1996
6615,Truck fill stand,11,30,70,10.09,2014
4699,Data Center,24,40,70,12.6,2001
657,Admin Office,8,40,69,36.33,2017
8244,Ground Terminal T1,27,30,70,11.6,1998
7340,Fuel Building,13,50,70,43.03,2012
6221,Storage Facility,36,60,70,19.93,1989
6014,Maintenance Shop,31,40,70,7.5,1994
1240,Antenna support building,4,30,70,27.97,2021
9144,Heating - Cooling Plant,4,60,71,59.7,2021
8428,Antenna support building,30,30,4,2.4,1995
2193,Truck fill stand,30,30,70,3.3,1995
5996,Heating - Cooling Plant,16,60,70,36.31,2009
9861,Truck fill stand,22,30,20,6.65,2003
7538,Entry control point,27,30,70,14.28,1998
2048,Central Utility Plant,44,50,70,0.0,1981
232,Entry control point,23,30,32,5.99,2002
5053,Maintenance Shop,39,40,70,2.87,1986
4795,Maintenance Shop,20,40,70,23.06,2005
5364,Storage Facility,25,60,70,35.56,2000
5996,Ops Facility T1,14,50,70,42.73,2011
6984,Fuel Farm,37,40,70,5.03,1988
4834,Power generation Facility,30,60,70,31.61,1995
1198,Dorm Facility,44,50,70,2.96,1981
8706,Fuel intake Facility,10,30,70,21.85,2015
5263,Central Utility Plant,15,50,70,24.43,2010
8421,Entry control point,29,30,70,3.72,1996
150,Truck fill stand,30,30,35,16.06,1995
1393,Central Utility Plant,43,50,70,8.22,1982
4485,Fuel intake Facility,27,30,70,9.67,1998
2115,Entry control point,30,30,70,0.0,1995
7447,Power generation Facility,14,60,70,45.98,2011
3380,Ground Terminal T1,29,30,70,4.34,1996
1591,Radome Facility,24,30,70,1.16,2001
1926,Power generation Facility,24,60,70,23.73,2001
6809,Standby Generator,29,30,70,0.76,1996
7127,Fuel Building,26,50,70,25.94,1999
3724,UPS Building,36,50,70,7.29,1989
2328,Receiver Station,18,30,70,5.02,2007
3120,Fuel Farm,23,40,49,12.56,2002
4519,UPS Building,14,50,70,40.35,2011
8031,Water Treatment Facility,30,30,70,0.0,1995
8044,Fuel intake Facility,30,30,70,6.91,1995
9646,Radome Facility,25,30,70,2.55,2000
5560,Maintenance Shop,30,40,89,15.84,1995
998,Ground Terminal T1,28,30,70,7.68,1997
6239,Central Utility Plant,18,50,70,27.33,2007
8357,Switching Station,15,30,70,21.23,2010
8785,Utility corridor,19,60,70,34.51,2006
6390,Fuel Building,43,50,70,0.0,1982
4338,Fuel Building,41,50,1,6.36,1984
4789,Equipment Pad,20,20,70,0.0,2005
6003,Receiver Station,2,30,70,29.43,2023
5575,Data Center,30,40,89,11.79,1995
1747,Entry control point,20,30,70,11.93,2005
1482,Fuel intake Facility,12,30,70,15.82,2013
302,Standby Generator,28,30,70,2.54,1997
7285,Communication Facility,60,60,70,0.05,1965
3053,Fuel intake Facility,29,30,70,0.0,1996
2604,Switching Station,26,30,70,0.0,1999
7075,Admin Office,20,40,70,7.19,2005
7605,Maintenance Shop,37,40,70,0.0,1988
5466,Ops Facility T1,30,50,70,27.11,1995
3148,Communication Facility,32,60,99,35.23,1993
5580,Utility corridor,52,60,70,15.81,1973
9616,Maintenance Shop,5,40,70,38.6,2020
9341,Ground monitoring Station,24,30,70,7.61,2001
2256,Utility corridor,17,60,70,40.9,2008
8694,Dorm Facility,10,50,70,37.0,2015
3202,Receiver Station,22,30,70,4.48,2003
286,Ground monitoring Station,26,30,70,2.49,1999
2342,Entry control point,30,30,29,0.0,1995
1429,Fuel intake Facility,30,30,70,0.0,1995
6922,Heating - Cooling Plant,23,60,1,37.6,2002
5462,Data Center,21,40,23,12.84,2004
3305,Central Utility Plant,14,50,70,31.83,2011
611,Data Center,28,40,70,1.19,1997
2597,Truck fill stand,12,30,70,16.11,2013
5320,Standby Generator,23,30,70,2.6,2002
6318,UPS Building,39,50,70,7.79,1986
5421,Pump Station,10,40,70,24.87,2015
7624,Central Utility Plant,1,50,70,48.49,2024
354,Ops Facility T1,40,50,70,13.06,1985
7130,Ground monitoring Station,30,30,70,5.13,1995
7438,Ground monitoring Station,30,30,70,2.13,1995
321,Fuel Farm,30,40,24,12.07,1995
6329,Storage Facility,18,60,70,49.77,2007
1438,Heating - Cooling Plant,46,60,70,22.48,1979
6302,Substation,25,30,70,3.47,2000
2117,Fuel intake Facility,24,30,70,5.01,2001
1913,Substation,5,30,70,25.77,2020
2833,Fuel Farm,20,40,70,20.63,2005
7448,Dorm Facility,47,50,70,0.0,1978
6648,Power generation Facility,12,60,70,44.35,2013
7225,Maintenance Shop,32,40,70,12.73,1993
7311,Receiver Station,1,30,70,34.7,2024
1887,Fuel Building,29,50,70,20.78,1996
574,Equipment Pad,13,20,70,7.37,2012
8405,Ground Terminal T1,28,30,70,3.17,1997
7200,Fuel Building,36,50,70,12.69,1989
6013,Ground Terminal T1,28,30,70,0.46,1997
1897,Communication Facility,38,60,39,24.79,1987
8080,Antenna support building,29,30,70,0.0,1996
3094,Water Treatment Facility,30,30,71,0.0,1995
6087,Truck fill stand,24,30,70,9.37,2001
4963,Ops Facility T1,26,50,70,20.92,1999
3806,Data Center,38,40,70,0.0,1987
419,UPS Building,25,50,70,20.48,2000
7029,Utility corridor,14,60,70,42.85,2011
9705,Truck fill stand,20,30,70,17.64,2005
9743,Heating - Cooling Plant,49,60,70,4.72,1976
7728,Truck fill stand,26,30,70,1.22,1999
6237,Radome Facility,24,30,70,13.29,2001
9567,Pump Station,23,40,70,24.04,2002
887,Maintenance Shop,4,40,70,42.38,2021
1109,Fuel intake Facility,30,30,70,0.0,1995
9819,Fuel Farm,15,40,70,23.32,2010
6473,Admin Office,27,40,70,14.45,1998
3408,Entry control point,19,30,96,11.59,2006
2336,Truck fill stand,25,30,70,1.44,2000
4978,Switching Station,16,30,70,6.15,2009
4214,Admin Office,30,40,70,17.46,1995
8010,Ground monitoring Station,30,30,99,0.0,1995
1695,UPS Building,12,50,70,34.86,2013
6969,Standby Generator,21,30,70,14.15,2004
9278,Ground monitoring Station,14,30,70,18.13,2011
6779,Entry control point,22,30,70,3.33,2003
5343,Equipment Pad,20,20,70,7.11,2005
6851,Admin Office,20,40,70,17.13,2005
3365,Utility corridor,39,60,16,19.65,1986
9021,Truck fill stand,29,30,70,0.0,1996
6586,Truck fill stand,21,30,70,14.96,2004
5369,Heating - Cooling Plant,14,60,70,46.39,2011
8248,Power generation Facility,13,60,70,50.92,2012
9230,Entry control point,30,30,70,2.0,1995
3644,Equipment Pad,20,20,70,4.52,2005
6548,UPS Building,40,50,25,2.63,1985
3091,UPS Building,33,50,70,21.9,1992
3559,Antenna support building,18,30,70,18.78,2007
8027,Communication Facility,20,60,70,43.02,2005
8765,Fuel Farm,26,40,70,17.88,1999
7645,Standby Generator,1,30,70,29.4,2024
2526,Communication Facility,10,60,70,41.23,2015
7601,Ground Terminal T1,13,30,70,16.65,2012
6833,Fuel intake Facility,30,30,70,5.82,1995
4784,Fuel Farm,12,40,70,28.94,2013
2800,Ground monitoring Station,4,30,70,25.37,2021
4312,Communication Facility,19,60,70,35.51,2006
1809,Central Utility Plant,41,50,70,13.64,1984
5492,Fuel intake Facility,30,30,70,2.92,1995
4076,Ops Facility T1,29,50,71,29.82,1996
5822,Admin Office,28,40,70,13.08,1997
5953,Antenna support building,30,30,70,0.0,1995
2613,Central Utility Plant,40,50,70,16.24,1985
7849,Fuel Building,10,50,70,44.53,2015
1182,Fuel intake Facility,27,30,4,2.6,1998
681,Radome Facility,27,30,70,0.0,1998
7771,Substation,22,30,70,2.69,2003
3210,Ops Facility T1,38,50,70,10.07,1987
8317,Fuel Farm,4,40,30,30.72,2021
1118,Power generation Facility,21,60,70,31.0,2004
9542,Water Treatment Facility,30,30,70,0.0,1995
3751,Pump Station,23,40,70,18.88,2002
4306,Radome Facility,20,30,70,9.35,2005
401,Power generation Facility,12,60,70,44.52,2013
9241,Receiver Station,20,30,70,8.96,2005
3291,Fuel Building,31,50,70,12.06,1994
8631,Utility corridor,20,60,22,35.45,2005
981,Central Utility Plant,13,50,70,27.13,2012
5290,Heating - Cooling Plant,26,60,90,24.9,1999
3276,Standby Generator,20,30,70,11.45,2005
6568,Power generation Facility,35,60,70,21.56,1990
5922,Antenna support building,21,30,70,6.92,2004
3633,Maintenance Shop,16,40,70,19.37,2009
5140,UPS Building,16,50,94,45.03,2009
3285,Ops Facility T1,26,50,70,23.3,1999
8940,Data Center,40,40,70,0.0,1985
5423,Communication Facility,37,60,70,19.35,1988
2181,Dorm Facility,49,50,71,3.88,1976
3512,Storage Facility,56,60,70,4.36,1969
3237,Data Center,34,40,70,0.29,1991
5759,Central Utility Plant,20,50,70,27.05,2005
7593,Pump Station,8,40,70,31.4,2017
9258,Water Treatment Facility,27,30,70,0.0,1998
2346,Entry control point,30,30,70,0.0,1995
3042,Ops Facility T1,50,50,70,0.0,1975
2446,Pump Station,22,40,70,20.21,2003
9778,Standby Generator,26,30,70,6.81,1999
9992,Equipment Pad,20,20,96,0.92,2005
5809,Pump Station,21,40,70,18.91,2004
7846,Switching Station,30,30,70,6.07,1995
6002,Ground Terminal T1,30,30,70,0.0,1995
4772,Water Treatment Facility,13,30,70,16.64,2012
5790,Data Center,25,40,70,20.15,2000
3335,Fuel Building,9,50,70,49.77,2016
887,Communication Facility,23,60,70,41.99,2002
3108,Maintenance Shop,37,40,70,3.18,1988
4030,Fuel intake Facility,30,30,70,0.0,1995
7009,Switching Station,30,30,70,0.0,1995
832,Fuel intake Facility,24,30,70,7.56,2001
6452,Pump Station,22,40,70,19.62,2003
3327,Power generation Facility,48,60,70,11.76,1977
1454,Maintenance Shop,23,40,70,14.01,2002
5641,Heating - Cooling Plant,39,60,14,22.22,1986
6608,Antenna support building,30,30,90,0.0,1995
9065,Heating - Cooling Plant,37,60,70,20.26,1988
8780,Central Utility Plant,14,50,70,41.41,2011
431,Substation,29,30,70,0.0,1996
3859,Standby Generator,23,30,70,1.43,2002
5612,Radome Facility,19,30,70,13.5,2006
4662,Ground monitoring Station,10,30,70,14.84,2015
5913,Communication Facility,11,60,41,50.26,2014
2030,Heating - Cooling Plant,25,60,70,33.17,2000
1489,Ground monitoring Station,30,30,70,0.0,1995
3643,Switching Station,19,30,70,9.42,2006
6046,Truck fill stand,30,30,70,0.0,1995
1872,Equipment Pad,20,20,70,0.97,2005
4335,Maintenance Shop,39,40,70,0.0,1986
1752,Ops Facility T1,9,50,70,47.3,2016
7685,Ops Facility T1,41,50,70,10.28,1984
9807,Utility corridor,33,60,70,28.83,1992
5954,Pump Station,3,40,70,34.72,2022
7837,Truck fill stand,6,30,70,21.03,2019
7485,Heating - Cooling Plant,30,60,70,23.92,1995
1522,Data Center,14,40,70,32.84,2011
429,Dorm Facility,26,50,70,21.01,1999
380,Maintenance Shop,19,40,70,16.97,2006
5959,Radome Facility,21,30,70,2.01,2004
3538,Fuel intake Facility,30,30,69,3.12,1995
7703,Truck fill stand,30,30,70,0.0,1995
7129,Central Utility Plant,13,50,70,51.52,2012
3510,Radome Facility,22,30,70,5.65,2003
2368,Maintenance Shop,35,40,70,5.01,1990
7976,Truck fill stand,3,30,70,19.72,2022
3822,Entry control point,19,30,70,14.4,2006
4925,Water Treatment Facility,25,30,97,8.82,2000
5794,Maintenance Shop,34,40,70,1.4,1991
7461,Fuel Building,45,50,70,6.29,1980
2368,UPS Building,22,50,70,30.32,2003
1210,Entry control point,30,30,70,0.0,1995
1910,Utility corridor,31,60,70,26.46,1994
5440,Pump Station,27,40,88,19.73,1998
203,Storage Facility,54,60,70,0.0,1971
8235,Communication Facility,35,60,70,30.88,1990
9703,Fuel Building,5,50,69,46.03,2020
7142,Switching Station,13,30,70,17.67,2012
3622,Substation,30,30,70,0.0,1995
7333,Fuel Farm,11,40,70,27.45,2014
6942,Equipment Pad,20,20,70,0.0,2005
5306,Admin Office,21,40,70,19.33,2004
4073,Admin Office,35,40,70,0.0,1990
3956,Dorm Facility,31,50,70,12.63,1994
7222,Switching Station,1,30,70,29.63,2024
3955,Receiver Station,18,30,71,7.77,2007
1390,Ground Terminal T1,21,30,70,5.82,2004
626,Antenna support building,7,30,70,18.81,2018
5315,Dorm Facility,44,50,70,3.13,1981
2717,Standby Generator,2,30,70,27.19,2023
6901,Central Utility Plant,18,50,70,46.12,2007
9878,UPS Building,31,50,70,24.02,1994
8150,Admin Office,12,40,70,25.17,2013
9694,Substation,30,30,70,0.0,1995
5932,Power generation Facility,16,60,70,40.47,2009
3973,Communication Facility,35,60,70,14.76,1990
2597,Ops Facility T1,15,50,70,39.72,2010
118,Pump Station,25,40,70,26.8,2000
2426,Storage Facility,39,60,70,18.34,1986
6561,Central Utility Plant,20,50,70,19.29,2005
8402,Dorm Facility,3,50,70,47.72,2022
3571,Heating - Cooling Plant,37,60,1,20.55,1988
476,Antenna support building,7,30,70,22.55,2018
2318,Central Utility Plant,16,50,70,33.96,2009
2014,Pump Station,17,40,70,20.32,2008
401,Central Utility Plant,45,50,70,0.0,1980
8691,Power generation Facility,21,60,70,42.58,2004
3867,Power generation Facility,54,60,70,8.25,1971
